"","Ensembl.ID","HGNC.symbol","score"
"105","ENSG00000128408","RIBC2",0.00273224043715847
"106","ENSG00000128016","ZFP36",0.00136612021857923
"107","ENSG00000129675","ARHGEF6",0.00546448087431694
"108","ENSG00000162772","ATF3",0.00136612021857923
"109","ENSG00000168309","FAM107A",0.00136612021857923
"110","ENSG00000198873","GRK5",0.00136612021857923
"111","ENSG00000100453","GZMB",0.00136612021857923
"112","ENSG00000188486","H2AX",0.00136612021857923
"113","ENSG00000101680","LAMA1",0.00136612021857923
"114","ENSG00000175324","LSM1",0.0355191256830601
"115","ENSG00000075651","PLD1",0.00136612021857923
"116","ENSG00000038427","VCAN",0.00409836065573771
"117","ENSG00000125730","C3",0.0109289617486339
"118","ENSG00000198947","DMD",0.00136612021857923
"119","ENSG00000007968","E2F2",0.00136612021857923
"120","ENSG00000180871","CXCR2",0.00273224043715847
"121","ENSG00000113368","LMNB1",0.00409836065573771
"122","ENSG00000120156","TEK",0.00546448087431694
"123","ENSG00000160293","VAV2",0.023224043715847
"124","ENSG00000134215","VAV3",0.00273224043715847
"125","ENSG00000102010","BMX",0.00683060109289617
"126","ENSG00000139618","BRCA2",0.00136612021857923
"127","ENSG00000179776","CDH5",0.0109289617486339
"128","ENSG00000149554","CHEK1",0.00546448087431694
"129","ENSG00000120738","EGR1",0.00546448087431694
"130","ENSG00000160867","FGFR4",0.00273224043715847
"131","ENSG00000157227","MMP14",0.00273224043715847
"132","ENSG00000185499","MUC1",0.00136612021857923
"133","ENSG00000080986","NDC80",0.00136612021857923
"134","ENSG00000117650","NEK2",0.00136612021857923
"135","ENSG00000116329","OPRD1",0.00273224043715847
"136","ENSG00000011422","PLAUR",0.00136612021857923
"137","ENSG00000182568","SATB1",0.00136612021857923
"138","ENSG00000181788","SIAH2",0.00136612021857923
"139","ENSG00000122386","ZNF205",0.00136612021857923
"140","ENSG00000135744","AGT",0.00409836065573771
"141","ENSG00000087586","AURKA",0.00136612021857923
"142","ENSG00000141582","CBX4",0.00136612021857923
"143","ENSG00000185043","CIB1",0.00136612021857923
"144","ENSG00000111674","ENO2",0.00136612021857923
"145","ENSG00000128591","FLNC",0.00136612021857923
"146","ENSG00000116678","LEPR",0.00409836065573771
"147","ENSG00000110492","MDK",0.00273224043715847
"148","ENSG00000117707","PROX1",0.00683060109289617
"149","ENSG00000077092","RARB",0.00819672131147541
"150","ENSG00000164362","TERT",0.00136612021857923
"151","ENSG00000131462","TUBG1",0.00273224043715847
"152","ENSG00000084674","APOB",0.00136612021857923
"153","ENSG00000125845","BMP2",0.00136612021857923
"154","ENSG00000123080","CDKN2C",0.00683060109289617
"155","ENSG00000169862","CTNND2",0.00273224043715847
"156","ENSG00000113578","FGF1",0.00409836065573771
"157","ENSG00000164109","MAD2L1",0.00273224043715847
"158","ENSG00000124171","PARD6B",0.00273224043715847
"159","ENSG00000005249","PRKAR2B",0.00136612021857923
"160","ENSG00000154556","SORBS2",0.00273224043715847
"161","ENSG00000135218","CD36",0.00136612021857923
"162","ENSG00000185507","IRF7",0.00409836065573771
"163","ENSG00000130520","LSM4",0.00546448087431694
"164","ENSG00000132561","MATN2",0.00273224043715847
"165","ENSG00000182636","NDN",0.00409836065573771
"166","ENSG00000123405","NFE2",0.00273224043715847
"167","ENSG00000099250","NRP1",0.00546448087431694
"168","ENSG00000126778","SIX1",0.00683060109289617
"169","ENSG00000043591","ADRB1",0.00409836065573771
"170","ENSG00000030110","BAK1",0.00409836065573771
"171","ENSG00000169679","BUB1",0.00136612021857923
"172","ENSG00000101189","MRGBP",0.00136612021857923
"173","ENSG00000163599","CTLA4",0.00136612021857923
"174","ENSG00000079819","EPB41L2",0.00409836065573771
"175","ENSG00000124491","F13A1",0.00956284153005465
"176","ENSG00000168496","FEN1",0.00409836065573771
"177","ENSG00000112214","FHL5",0.00409836065573771
"178","ENSG00000151702","FLI1",0.00136612021857923
"179","ENSG00000170091","NSG2",0.00273224043715847
"180","ENSG00000106484","MEST",0.0109289617486339
"181","ENSG00000116833","NR5A2",0.00273224043715847
"182","ENSG00000115718","PROC",0.00409836065573771
"183","ENSG00000171222","SCAND1",0.00136612021857923
"184","ENSG00000115884","SDC1",0.00683060109289617
"185","ENSG00000007908","SELE",0.00136612021857923
"186","ENSG00000064692","SNCAIP",0.00409836065573771
"187","ENSG00000169946","ZFPM2",0.00546448087431694
"188","ENSG00000107796","ACTA2",0.00273224043715847
"189","ENSG00000179841","AKAP5",0.00136612021857923
"190","ENSG00000171094","ALK",0.00409836065573771
"191","ENSG00000012822","CALCOCO1",0.0204918032786885
"192","ENSG00000118971","CCND2",0.00273224043715847
"193","ENSG00000117399","CDC20",0.00136612021857923
"194","ENSG00000167513","CDT1",0.00136612021857923
"195","ENSG00000114737","CISH",0.00273224043715847
"196","ENSG00000018236","CNTN1",0.0163934426229508
"197","ENSG00000065618","COL17A1",0.00136612021857923
"198","ENSG00000203710","CR1",0.00683060109289617
"199","ENSG00000116016","EPAS1",0.00136612021857923
"200","ENSG00000085276","MECOM",0.0136612021857923
"201","ENSG00000196405","EVL",0.0109289617486339
"202","ENSG00000140285","FGF7",0.00409836065573771
"203","ENSG00000137726","FXYD6",0.00273224043715847
"204","ENSG00000152578","GRIA4",0.00136612021857923
"205","ENSG00000253293","HOXA10",0.00136612021857923
"206","ENSG00000107186","MPDZ",0.00273224043715847
"207","ENSG00000146232","NFKBIE",0.00136612021857923
"208","ENSG00000183072","NKX2-5",0.00136612021857923
"209","ENSG00000135903","PAX3",0.00136612021857923
"210","ENSG00000118762","PKD2",0.00819672131147541
"211","ENSG00000196415","PRTN3",0.00546448087431694
"212","ENSG00000118515","SGK1",0.00273224043715847
"213","ENSG00000148082","SHC3",0.00136612021857923
"214","ENSG00000138083","SIX3",0.00136612021857923
"215","ENSG00000135604","STX11",0.00409836065573771
"216","ENSG00000103363","ELOB",0.00136612021857923
"217","ENSG00000149925","ALDOA",0.00136612021857923
"218","ENSG00000182492","BGN",0.0887978142076503
"219","ENSG00000108691","CCL2",0.00136612021857923
"220","ENSG00000163815","CLEC3B",0.00136612021857923
"221","ENSG00000151914","DST",0.00273224043715847
"222","ENSG00000004478","FKBP4",0.00409836065573771
"223","ENSG00000122641","INHBA",0.00409836065573771
"224","ENSG00000171345","KRT19",0.00136612021857923
"225","ENSG00000113594","LIFR",0.00409836065573771
"226","ENSG00000134323","MYCN",0.00136612021857923
"227","ENSG00000161270","NPHS1",0.00136612021857923
"228","ENSG00000130669","PAK4",0.00136612021857923
"229","ENSG00000127329","PTPRB",0.00683060109289617
"230","ENSG00000105649","RAB3A",0.00273224043715847
"231","ENSG00000196154","S100A4",0.00136612021857923
"232","ENSG00000117632","STMN1",0.00136612021857923
"233","ENSG00000156587","UBE2L6",0.00683060109289617
"234","ENSG00000110799","VWF",0.00136612021857923
"235","ENSG00000120907","ADRA1A",0.00136612021857923
"236","ENSG00000129354","AP1M2",0.00273224043715847
"237","ENSG00000105971","CAV2",0.00136612021857923
"238","ENSG00000142273","CBLC",0.00136612021857923
"239","ENSG00000137077","CCL21",0.0122950819672131
"240","ENSG00000097046","CDC7",0.00409836065573771
"241","ENSG00000167670","CHAF1A",0.00546448087431694
"242","ENSG00000168542","COL3A1",0.00546448087431694
"243","ENSG00000109846","CRYAB",0.00546448087431694
"244","ENSG00000100129","EIF3L",0.00409836065573771
"245","ENSG00000103254","ANTKMT",0.00273224043715847
"246","ENSG00000187741","FANCA",0.0204918032786885
"247","ENSG00000144554","FANCD2",0.0300546448087432
"248","ENSG00000037280","FLT4",0.00136612021857923
"249","ENSG00000019991","HGF",0.00273224043715847
"250","ENSG00000108924","HLF",0.00136612021857923
"251","ENSG00000104490","NCALD",0.00136612021857923
"252","ENSG00000122133","PAEP",0.00136612021857923
"253","ENSG00000075891","PAX2",0.00546448087431694
"254","ENSG00000069011","PITX1",0.00273224043715847
"255","ENSG00000118898","PPL",0.00136612021857923
"256","ENSG00000161800","RACGAP1",0.00546448087431694
"257","ENSG00000149131","SERPING1",0.0109289617486339
"258","ENSG00000182004","SNRPE",0.00273224043715847
"259","ENSG00000163554","SPTA1",0.00136612021857923
"260","ENSG00000070182","SPTB",0.00409836065573771
"261","ENSG00000152818","UTRN",0.00546448087431694
"262","ENSG00000148848","ADAM12",0.0109289617486339
"263","ENSG00000111275","ALDH2",0.00409836065573771
"264","ENSG00000114019","AMOTL2",0.00136612021857923
"265","ENSG00000240583","AQP1",0.00683060109289617
"266","ENSG00000139352","ASCL1",0.00136612021857923
"267","ENSG00000181374","CCL13",0.00546448087431694
"268","ENSG00000163468","CCT3",0.00273224043715847
"269","ENSG00000144810","COL8A1",0.00136612021857923
"270","ENSG00000160688","FLAD1",0.00136612021857923
"271","ENSG00000051128","HOMER3",0.00273224043715847
"272","ENSG00000263528","IKBKE",0.00136612021857923
"273","ENSG00000105610","KLF1",0.00136612021857923
"274","ENSG00000165304","MELK",0.00136612021857923
"275","ENSG00000157601","MX1",0.00546448087431694
"276","ENSG00000136274","NACAD",0.00136612021857923
"277","ENSG00000099139","PCSK5",0.00956284153005465
"278","ENSG00000167641","PPP1R14A",0.00409836065573771
"279","ENSG00000054356","PTPRN",0.00273224043715847
"280","ENSG00000169750","RAC3",0.00136612021857923
"281","ENSG00000197275","RAD54B",0.00546448087431694
"282","ENSG00000103710","RASL12",0.0327868852459016
"283","ENSG00000126785","RHOJ",0.00819672131147541
