"","Ensembl.ID","HGNC.symbol","score"
"106","ENSG00000067082","KLF6",0.00136612021857923
"107","ENSG00000178573","MAF",0.00136612021857923
"108","ENSG00000106484","MEST",0.00819672131147541
"109","ENSG00000196549","MME",0.023224043715847
"110","ENSG00000179094","PER1",0.00409836065573771
"111","ENSG00000119729","RHOQ",0.00409836065573771
"112","ENSG00000107796","ACTA2",0.00136612021857923
"113","ENSG00000012822","CALCOCO1",0.00819672131147541
"114","ENSG00000118971","CCND2",0.0136612021857923
"115","ENSG00000065618","COL17A1",0.00956284153005465
"116","ENSG00000116016","EPAS1",0.0710382513661202
"117","ENSG00000107186","MPDZ",0.00273224043715847
"118","ENSG00000118762","PKD2",0.00136612021857923
"119","ENSG00000196415","PRTN3",0.00136612021857923
"120","ENSG00000117152","RGS4",0.00136612021857923
"121","ENSG00000118515","SGK1",0.0109289617486339
"122","ENSG00000103363","ELOB",0.00273224043715847
"123","ENSG00000169554","ZEB2",0.00956284153005465
"124","ENSG00000182492","BGN",0.0136612021857923
"125","ENSG00000108691","CCL2",0.00273224043715847
"126","ENSG00000151914","DST",0.0177595628415301
"127","ENSG00000185010","F8",0.00136612021857923
"128","ENSG00000004478","FKBP4",0.00273224043715847
"129","ENSG00000171345","KRT19",0.0177595628415301
"130","ENSG00000113594","LIFR",0.0218579234972678
"131","ENSG00000106511","MEOX2",0.00136612021857923
"132","ENSG00000127329","PTPRB",0.00819672131147541
"133","ENSG00000196154","S100A4",0.00409836065573771
"134","ENSG00000156587","UBE2L6",0.00956284153005465
"135","ENSG00000110799","VWF",0.127049180327869
"136","ENSG00000105971","CAV2",0.00409836065573771
"137","ENSG00000109846","CRYAB",0.00409836065573771
"138","ENSG00000100129","EIF3L",0.00136612021857923
"139","ENSG00000174804","FZD4",0.00136612021857923
"140","ENSG00000019991","HGF",0.00273224043715847
"141","ENSG00000104490","NCALD",0.00546448087431694
"142","ENSG00000149131","SERPING1",0.0109289617486339
"143","ENSG00000152818","UTRN",0.0737704918032787
"144","ENSG00000148848","ADAM12",0.00546448087431694
"145","ENSG00000111275","ALDH2",0.0109289617486339
"146","ENSG00000114019","AMOTL2",0.00273224043715847
"147","ENSG00000240583","AQP1",0.0437158469945355
"148","ENSG00000172156","CCL11",0.00136612021857923
"149","ENSG00000163468","CCT3",0.00136612021857923
"150","ENSG00000115380","EFEMP1",0.00409836065573771
"151","ENSG00000174996","KLC2",0.00136612021857923
"152","ENSG00000174697","LEP",0.00409836065573771
"153","ENSG00000137713","PPP2R1B",0.00546448087431694
"154","ENSG00000198053","SIRPA",0.00273224043715847
"155","ENSG00000005020","SKAP2",0.00136612021857923
"156","ENSG00000168394","TAP1",0.00136612021857923
"157","ENSG00000148737","TCF7L2",0.00273224043715847
"158","ENSG00000265972","TXNIP",0.0122950819672131
"159","ENSG00000120129","DUSP1",0.00136612021857923
"160","ENSG00000186081","KRT5",0.00136612021857923
"161","ENSG00000149923","PPP4C",0.00136612021857923
"162","ENSG00000170989","S1PR1",0.00683060109289617
"163","ENSG00000109686","SH3D19",0.0191256830601093
"164","ENSG00000165124","SVEP1",0.0136612021857923
"165","ENSG00000187079","TEAD1",0.023224043715847
"166","ENSG00000102265","TIMP1",0.0778688524590164
"167","ENSG00000143549","TPM3",0.00546448087431694
"168","ENSG00000100077","GRK3",0.00136612021857923
"169","ENSG00000106541","AGR2",0.0122950819672131
"170","ENSG00000145362","ANK2",0.00136612021857923
"171","ENSG00000074410","CA12",0.0109289617486339
"172","ENSG00000000971","CFH",0.0273224043715847
"173","ENSG00000107562","CXCL12",0.0150273224043716
"174","ENSG00000170323","FABP4",0.00956284153005465
"175","ENSG00000135862","LAMC1",0.00273224043715847
"176","ENSG00000197702","PARVA",0.00956284153005465
"177","ENSG00000184500","PROS1",0.00409836065573771
"178","ENSG00000108551","RASD1",0.00136612021857923
"179","ENSG00000087903","RFX2",0.00136612021857923
"180","ENSG00000173432","SAA1",0.00136612021857923
"181","ENSG00000131018","SYNE1",0.00273224043715847
"182","ENSG00000147526","TACC1",0.00273224043715847
"183","ENSG00000111077","TNS2",0.023224043715847
"184","ENSG00000142910","TINAGL1",0.00273224043715847
"185","ENSG00000131016","AKAP12",0.00819672131147541
"186","ENSG00000163297","ANTXR2",0.00819672131147541
"187","ENSG00000165507","DEPP1",0.00956284153005465
"188","ENSG00000169245","CXCL10",0.00546448087431694
"189","ENSG00000136770","DNAJC1",0.00136612021857923
"190","ENSG00000092964","DPYSL2",0.00683060109289617
"191","ENSG00000135144","DTX1",0.00136612021857923
"192","ENSG00000186469","GNG2",0.00136612021857923
"193","ENSG00000136826","KLF4",0.0109289617486339
"194","ENSG00000053747","LAMA3",0.0136612021857923
"195","ENSG00000184384","MAML2",0.00136612021857923
"196","ENSG00000159200","RCAN1",0.00819672131147541
"197","ENSG00000173267","SNCG",0.00136612021857923
"198","ENSG00000079308","TNS1",0.00546448087431694
